sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
232.0,1272.8318133392158,-140.4162011065075,-500.0,0.1265995064653021,0.3081256153160285,0.5824397820946091,-0.2180428984827199,-0.6979231116132973,0.3709464454303228,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556
233.0,1328.1969301004237,457.8725146607483,500.0,0.3081256153160285,0.5824397820946091,-0.2180428984827199,-0.6979231116132973,0.3709464454303228,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451
234.0,927.009812746157,495.0087875457724,500.0,0.5824397820946091,-0.2180428984827199,-0.6979231116132973,0.3709464454303228,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036
235.0,459.11994274373626,-454.383801931328,-500.0,-0.2180428984827199,-0.6979231116132973,0.3709464454303228,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252
236.0,769.014633626366,-458.09953103554045,-500.0,-0.6979231116132973,0.3709464454303228,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252,0.5130475925213769
237.0,1144.7972080260704,463.7116387613173,500.0,0.3709464454303228,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252,0.5130475925213769,-0.23855930449076743
238.0,766.7576078431462,-497.8769855390224,-500.0,-0.22037946857221524,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252,0.5130475925213769,-0.23855930449076743,-0.26160206414228143
239.0,1124.1140367434723,477.8813512461604,500.0,0.5693911020086637,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252,0.5130475925213769,-0.23855930449076743,-0.26160206414228143,-0.25031128388163
240.0,742.3296063950472,-281.7644766932901,-429.1267301104766,0.17002991626299785,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252,0.5130475925213769,-0.23855930449076743,-0.26160206414228143,-0.25031128388163,0.7460369126813488
241.0,929.9162787084119,491.25280004150295,500.0,0.43467603022021917,0.33547159583460684,-0.804227002954671,0.31769140224577674,-0.23424689334448415,-0.25744332078497917,-0.1190432071317907,0.3572619266739534,0.39375706881756556,0.4345079962858581,-0.6388774280859416,-0.2162288785785438,-0.9281743083642978,-0.015802431718529242,0.27505199641165556,-0.2505988501841451,0.17291821708593036,0.18754023419905252,0.5130475925213769,-0.23855930449076743,-0.26160206414228143,-0.25031128388163,0.7460369126813488,0.4712423160527094
