sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
464,296.1606064,-498.1518654,-500,-1.848134624,3.415601588,-0.174511684,-0.069268985,0.128007236,0.269608205,0.679004115,-0.992485065,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567
465,694.4276453,-311.1849264,-500,-188.8150736,35651.13202,-0.069268985,0.128007236,0.269608205,0.679004115,-0.992485065,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441
466,1004.854875,-463.4274615,-500,-36.57253852,1337.550574,0.128007236,0.269608205,0.679004115,-0.992485065,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165
467,1429.369086,-338.0661718,-390.1378043,-52.07163251,2711.454912,0.269608205,0.679004115,-0.992485065,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982
468,1754.44993,110.8093157,136.263084,25.45376834,647.8943227,0.679004115,-0.992485065,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096
469,1682.003113,401.2941886,500,98.70581143,9742.83721,-0.992485065,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487
470,1323.946802,349.5213901,500,150.4786099,22643.81204,0.215416671,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763
471,987.8028019,-467.5277329,-500,-32.47226709,1054.44813,-0.004348244,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499
472,1317.656185,418.4764175,500,81.52358251,6646.094505,1.005448058,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369
473,971.0958385,-483.1644265,-188.32017,294.8442565,86933.13559,0.48340622,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267
474,1309.509699,498.6471713,500,1.35282874,1.8301456,-0.571233786,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382
475,908.1000488,495.5335873,500,4.466412738,19.94884275,0.230635628,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368
476,437.0966489,-500,-500,0,0,-0.153281587,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531
477,792.761387,490.9407474,500,9.059252563,82.070057,0.442428635,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064
478,400.8378695,-486.6156437,-500,-13.38435629,179.1409933,-0.387218902,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568
479,751.276749,500,500,0,0,-0.008680087,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823
480,360.0103866,-497.8346119,-500,-2.165388107,4.688905654,-0.022621899,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479
481,722.9417841,116.9173847,500,383.0826153,146752.2901,-0.010703755,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976
482,650.1186833,83.79884964,-500,-583.7988496,340821.0968,-0.203624276,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891
483,567.8878921,-190.5616913,-296.9601136,-106.3984222,11320.62425,-0.700178304,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898
484,717.5036806,-406.3914172,-500,-93.60858277,8762.566768,0.229169193,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334
485,1071.911365,-499.3846814,-500,-0.615318552,0.37861692,0.454620567,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994
486,1528.806098,433.6892667,500,66.3107333,4397.113351,0.022691441,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927
487,1213.206813,494.0628713,500,5.937128656,35.24949668,-0.366889165,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166
488,784.6297085,-117.8821956,115.3996931,233.2818887,54420.4396,0.111211982,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201
489,858.4422719,-490.4504544,-500,-9.549545603,91.19382122,0.251136096,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041
490,1294.34271,294.4477636,500,205.5522364,42251.72189,-0.050293487,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981
491,1091.012081,452.2028976,500,47.79710238,2284.562996,0.016440763,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223
492,694.5104215,-457.4361098,-479.4627142,-22.02660442,485.1713023,0.58849499,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229
493,1037.78234,-260.3579776,381.8761469,642.2341244,412464.6705,-0.412476369,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862
494,1268.409805,495.0303886,500,4.969611424,24.69703771,-0.168162267,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131
495,854.0587032,-499.2080348,-500,-0.791965216,0.627208903,-0.687254382,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638
496,1196.311178,16.5170019,500,483.4829981,233755.8095,-0.184946368,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956
497,1174.935894,-473.1795468,-500,-26.82045316,719.3367077,-0.185818531,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559
498,1528.827857,149.0745825,500,350.9254175,123148.6486,-0.294068064,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566
499,1406.416739,81.74779548,500,418.2522045,174934.9066,-0.207588568,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943
500,1306.356057,-421.2366859,-500,-78.76331407,6203.659643,0.773791823,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343
501,1625.992501,-120.7422076,-183.1657885,-62.42358088,3896.70345,-0.033531479,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231
502,1738.992748,476.9610513,500,23.03894874,530.793159,-0.0106976,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507
503,1334.48921,-394.3611409,-305.8008312,88.56030964,7842.928444,0.911264891,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842
504,1614.804592,130.8993507,489.2679914,358.3686406,128428.0826,0.005738898,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562
505,1523.493857,499.1572648,500,0.842735243,0.71020269,-0.665555334,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844
506,1091.391539,48.19672248,500,451.8032775,204126.2016,0.191202994,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317
507,1014.155667,-477.9400874,-500,-22.0599126,486.6397439,-0.339830927,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366
508,1395.684091,483.1043905,500,16.89560946,285.461619,0.700518166,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613
509,1028.114792,-494.7460544,-500,-5.253945635,27.60394474,-0.443355201,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026
510,1416.385708,498.1378668,500,1.862133227,3.467540155,-0.182178041,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843
511,1047.324882,-491.8158698,-500,-8.184130171,66.97998666,-0.602349981,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893
512,1440.389979,110.2472956,121.4631361,11.21584059,125.7950801,0.068990223,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417
513,1397.270343,-379.1552435,-423.9259551,-44.77071157,2004.416614,-0.381230229,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815
514,1723.056921,441.2043762,500,58.79562375,3456.925372,-0.006179862,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232
515,1389.343331,-302.8788357,-432.270178,-129.3913423,16742.11946,-0.128755131,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473
516,1619.217507,182.6887658,500,317.3112342,100686.4193,-0.220187638,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448
517,1481.080122,136.5421926,164.2948656,27.75267293,770.2108548,0.412285956,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082
518,1347.208993,-468.3288154,-476.6221127,-8.293297316,68.77878037,0.429186559,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129
519,1698.687056,402.5510851,500,97.44891488,9496.291011,0.09994566,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013
520,1362.632537,499.1246288,500,0.875371169,0.766274684,-0.265109943,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112
521,895.3256951,402.5908036,500,97.40919636,9488.551536,-0.318195343,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257
522,503.1108453,-497.6972675,-500,-2.302732467,5.302576815,0.197971231,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217
523,858.3675454,-499.6302141,-500,-0.3697859,0.136741612,1.02634507,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624
524,1275.789371,473.7618245,500,26.23817546,688.4418515,-0.127726842,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758
525,894.0570364,496.2291425,500,3.770857484,14.21936616,-0.268876562,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424
526,427.4367459,-276.4045319,239.407101,515.8116329,266061.6406,-0.243954844,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537
527,609.2387775,-493.7727712,-500,-6.227228798,38.7783785,-0.406108317,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993
528,1021.277402,-392.0692064,180.2920026,572.3612091,327597.3537,-0.358890366,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325
529,1367.016475,-281.2308086,-455.772132,-174.5413234,30464.67357,-0.054013613,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215
530,1619.884597,3.706975462,-189.5951607,-193.3021362,37365.71586,0.603540026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099
531,1633.789352,-97.01821498,-174.958577,-77.94036198,6074.700026,0.034592843,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982
532,1714.493307,498.7585778,500,1.241422151,1.541128957,-0.15928893,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381
533,1310.033391,327.2354078,500,172.7645922,29847.60432,-0.590965417,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989
534,1012.393392,-228.1265244,-329.059587,-100.9330626,10187.48313,0.135276815,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387
535,1191.846749,-498.6267298,-500,-1.373270188,1.885871009,0.029274232,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851
536,1644.127543,493.1993803,500,6.800619697,46.24842826,-0.460561473,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815
537,1286.394025,281.667512,500,218.332488,47669.07532,-0.40966448,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815,0.292311729
538,1029.078664,-436.9313003,-500,-63.06869969,3977.660881,0.00311082,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815,0.292311729,0.42145958
539,1386.878893,-301.8042563,-434.8643233,-133.060067,17704.98143,0.426981129,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815,0.292311729,0.42145958,0.257681255
540,1676.310421,35.94882645,-130.1995564,-166.1483828,27605.28511,0.275652013,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815,0.292311729,0.42145958,0.257681255,0.433796385
541,1665.625926,429.4775496,500,70.52245039,4973.416009,0.117238112,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815,0.292311729,0.42145958,0.257681255,0.433796385,-0.086402964
542,1288.676424,496.9757832,500,3.024216819,9.145887368,-0.074318257,0.203223217,0.090153624,0.979132758,-0.36292424,-0.077345537,0.562227993,-0.061251325,0.604964215,0.014465099,0.088185982,-0.120243381,-0.522192989,-0.353277387,0.931030851,0.313101815,0.292311729,0.42145958,0.257681255,0.433796385,-0.086402964,-0.067351623
