sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
36,1223.339484,487.4611261,500,12.53887389,157.2233584,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467
37,826.8392041,481.591814,500,18.40818603,338.8613129,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278
38,395.1570869,-73.14766826,21.21798618,94.36565444,8904.876738,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764
39,426.3208446,-452.243723,-500,-47.75627704,2280.661997,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581
40,795.2215671,500,500,0,0,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109
41,391.6500871,-160.2778423,-482.4735925,-322.1957502,103810.1014,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616
42,455.1842541,-496.7135376,-500,-3.286462363,10.80083486,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128
43,836.8456657,-496.948399,-500,-3.051601045,9.312268938,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038
44,1244.4913,490.9646473,500,9.035352664,81.63759776,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618
45,849.5521247,447.7093409,183.7390787,-263.9702623,69680.29938,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459
46,420.8038724,-496.5279206,-500,-3.472079399,12.05533535,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986
47,776.5910169,-493.7595446,-500,-6.240455382,38.94328337,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841
48,1194.914212,-202.8766485,47.27811745,250.1547659,62577.4069,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386
49,1381.821993,471.3258843,500,28.67411571,822.2049118,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986
50,989.3514948,-20.09844792,500,520.0984479,270502.3955,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508
51,972.1306797,382.1040065,500,117.8959935,13899.46528,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278
52,645.6761308,-405.6448021,-500,-94.35519795,8902.90338,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661
53,945.3317237,446.3701822,500,53.62981783,2876.15736,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105
54,590.3053293,-499.6310018,-500,-0.36899817,0.136159649,-0.539518594,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166
55,967.4093099,-143.955535,-376.4112528,-232.4557178,54035.66074,0.040840257,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445
56,1127.517171,-492.8197566,-500,-7.180243405,51.55589536,-0.281426212,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762
57,1565.770335,147.4197637,253.4424581,106.0226944,11240.81173,0.110554467,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296
58,1492.15978,-194.9679386,-324.0423371,-129.0743985,16660.20035,1.340123278,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841
59,1655.509617,150.0724716,500,349.9275284,122449.2751,0.002557764,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567
60,1554.417867,491.983578,500,8.016421992,64.26302155,0.361929581,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513
61,1144.11642,-449.6997688,-190.4037682,259.2960006,67234.41593,-0.494330109,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234
62,1492.711746,500,500,0,0,-0.060221616,0.339994128,0.057932038,0.258072618,0.131331459,-0.332453986,0.280497841,-0.279810386,0.783700986,-0.170081508,0.304437278,0.028939661,0.410972105,-0.205860166,0.444546445,0.005440762,0.555322296,0.289677841,0.086517567,-0.287113513,0.327121234,0.209261003
