sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
42,1175.929938,279.5527168,500,220.4472832,48597.00467,0.066899578,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147
43,878.4549995,189.4326797,214.1631573,24.73047759,611.5965218,0.015815261,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073
44,669.5226099,383.9293192,-500,-883.9293192,781331.0413,0.100854692,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352
45,313.1393218,-496.1063346,-500,-3.893665432,15.1606305,0.095698799,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224
46,670.0905703,322.8203181,494.8321792,172.0118612,29588.08039,0.139979562,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594
47,414.0556133,-26.77353795,-274.6783018,-247.9047639,61456.77196,0.020352226,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433
48,401.8295393,171.8117293,212.4521466,40.64041738,1651.643525,0.020888523,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691
49,251.9530132,-478.1558155,-500,-21.84418451,477.1683969,0.020135835,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678
50,620.8486347,-499.1061335,-500,-0.893866454,0.798997238,0.051447259,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028
51,1049.660683,-493.8469124,-500,-6.15308763,37.86048738,0.035546578,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459
52,1477.613364,250.0607798,500,249.9392202,62469.61379,0.076669525,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922
53,1288.739773,21.66540987,146.0418665,124.3764566,15469.50296,0.042691278,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647
54,1250.076334,486.6650336,500,13.33496642,177.8213294,-0.007005521,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122
55,840.5653447,-69.68380713,500,569.6838071,324539.6401,0.103729405,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986
56,869.8734484,-495.1258095,-500,-4.874190546,23.75773348,0.010138241,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041
57,1303.478744,487.5291647,500,12.47083527,155.5217323,0.071405878,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759
58,946.7215568,-468.4789461,-398.187835,70.2911111,4940.8403,0.006504128,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686
59,1324.14575,482.090506,500,17.90949399,320.749975,0.027736681,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607
60,972.2866615,-497.5206169,-371.2771984,126.2434185,15937.40071,-0.041487479,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852
61,1365.353076,105.0593516,500,394.9406484,155978.1158,-0.004065149,0.070813573,0.098721147,0.085631073,0.115711352,0.016181224,0.071575594,0.027982433,0.003648691,0.048975678,0.014012028,-0.005322459,0.012121922,0.014253647,0.02336122,0.047877986,0.03720041,0.086422759,0.102809686,0.070344607,0.011241852,-0.005753115
