sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
66,1612.804053,500,500,0,0,0.082618122,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439
67,1161.708917,500,500,0,0,0.070157559,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632
68,686.7089168,500,500,0,0,0.052298243,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386
69,211.7089168,13.72758499,12.32517559,-1.402409397,1.966752117,0.040864869,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463
70,200,0,0,0,0,0.036397568,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939
71,200,-2,0,2,4,0.030201203,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959
72,200,-84.36842105,0,84.36842105,7118.03047,0.026467754,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833
73,263.4407942,-460.1565491,-117.430743,342.7258061,117460.9782,0.026412192,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786
74,635.9944232,-499.7079227,-500,-0.292077296,0.085309147,0.028425365,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358
75,1064.473287,-500,-500,0,0,0.033836122,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294
76,1497.476873,-256.3793219,-318.4453968,-62.06607492,3852.197656,0.045287799,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744
77,1736.753179,-69.9418712,-66.5756014,3.366269804,11.33177239,0.053220041,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531
78,1800,480.6279719,184.2105263,-296.4174455,87863.302,0.053642276,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314
79,1398.034443,500,500,0,0,0.046280969,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518
80,954.9254044,500,500,0,0,0.034034461,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103
81,513.3794959,310.2275238,329.8731535,19.64562972,385.9507671,0.023624185,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319
82,233.0743251,16.27111746,34.81507905,18.54396159,343.8785115,0.017424688,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006
83,212.0740546,-318.4486436,-500,-181.5513564,32960.89501,0.023543179,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006,0.034083616
84,491.4670745,-500,-500,0,0,0.024142986,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006,0.034083616,0.020626431
85,946.4833717,-496.6774115,-500,-3.322588475,11.03959417,0.040477016,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006,0.034083616,0.020626431,0.020263486
86,1401.909066,-429.6036363,-419.0430884,10.56054798,111.5251736,0.055876795,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006,0.034083616,0.020626431,0.020263486,0.026876117
87,1790.855505,-12.91139357,-9.625783891,3.285609679,10.79523096,0.076817439,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006,0.034083616,0.020626431,0.020263486,0.026876117,0.029101226
88,1800,-0.005300856,0,0.005300856,2.80991E-05,0.092690632,0.110659386,0.085590463,0.064031939,0.055786959,0.040492833,0.032541786,0.035494358,0.036313294,0.028198744,0.028277531,0.038057314,0.048822518,0.057099103,0.046546319,0.038020006,0.034083616,0.020626431,0.020263486,0.026876117,0.029101226,0.032416538
